 Debug: start program
 input Read: N=18, Q=77
 Debug: Solving CVRP...
 Initial Routes (Knapsack): [[0, 14, 7, 8, 9, 15, 1, 12, 0], [0, 13, 11, 2, 0], [0, 6, 4, 0], [0, 3, 0], [0, 17, 0], [0, 5, 0], [0, 10, 0], [0, 16, 0]]
 After 3-Opt Optimization: [[0, 7, 14, 12, 8, 9, 15, 1, 0], [0, 13, 11, 2, 0], [0, 6, 4, 0], [0, 3, 0], [0, 17, 0], [0, 5, 0], [0, 10, 0], [0, 16, 0]]
 Debug: Starting Simulated Annealing...
Temp=1000.00, Best Distance=1024
Temp=995.00, Best Distance=1024
 Invalid swap! Route [0, 13, 4, 2, 0] (Demand 86) or Route [0, 6, 11, 0] (Demand 61) exceeds capacity 77
Temp=995.00, Best Distance=1024
Temp=990.02, Best Distance=957
Temp=985.07, Best Distance=957
Temp=980.15, Best Distance=957
Temp=975.25, Best Distance=957
Temp=970.37, Best Distance=957
Temp=965.52, Best Distance=957
Temp=960.69, Best Distance=957
Temp=955.89, Best Distance=957
Temp=951.11, Best Distance=957
Temp=946.35, Best Distance=957
Temp=941.62, Best Distance=957
Temp=936.91, Best Distance=957
Temp=932.23, Best Distance=957
Temp=927.57, Best Distance=957
Temp=922.93, Best Distance=957
Temp=918.32, Best Distance=957
Temp=913.72, Best Distance=957
Temp=909.16, Best Distance=957
Temp=904.61, Best Distance=957
Temp=900.09, Best Distance=957
Temp=895.59, Best Distance=957
Temp=891.11, Best Distance=957
Temp=886.65, Best Distance=957
Temp=882.22, Best Distance=957
Temp=877.81, Best Distance=957
 Invalid swap! Route [0, 7, 14, 12, 8, 9, 13, 1, 0] (Demand 74) or Route [0, 15, 4, 2, 0] (Demand 79) exceeds capacity 77
Temp=877.81, Best Distance=957
Temp=873.42, Best Distance=972
Temp=869.05, Best Distance=972
Temp=864.71, Best Distance=972
 Invalid swap! Route [0, 15, 4, 1, 0] (Demand 68) or Route [0, 7, 14, 12, 8, 9, 13, 2, 0] (Demand 85) exceeds capacity 77
Temp=864.71, Best Distance=972
Temp=860.38, Best Distance=1071
Temp=856.08, Best Distance=1071
Temp=851.80, Best Distance=1071
Temp=847.54, Best Distance=1071
Temp=843.31, Best Distance=1071
Temp=839.09, Best Distance=1071
Temp=834.89, Best Distance=1071
Temp=830.72, Best Distance=1071
Temp=826.57, Best Distance=1071
Temp=822.43, Best Distance=1071
Temp=818.32, Best Distance=1071
Temp=814.23, Best Distance=1071
Temp=810.16, Best Distance=1071
Temp=806.11, Best Distance=1071
Temp=802.08, Best Distance=1071
 Invalid swap! Route [0, 7, 14, 12, 8, 9, 13, 6, 0] (Demand 96) or Route [0, 2, 11, 0] (Demand 50) exceeds capacity 77
